,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
726,600637.SH,20210104,8.95,9.06,8.92,9.02,8.94,0.08,0.8949,87387.79,78756.988
725,600637.SH,20210105,9.04,9.04,8.94,9.01,9.02,-0.01,-0.1109,76721.79,68945.476
724,600637.SH,20210106,9.04,9.04,8.92,8.94,9.01,-0.07,-0.7769,70873.67,63551.915
723,600637.SH,20210107,8.99,9,8.75,8.83,8.94,-0.11,-1.2304,118706.9,104928.98
722,600637.SH,20210108,8.8,9.15,8.71,9.1,8.83,0.27,3.0578,177466.74,160434.186
721,600637.SH,20210111,9.07,9.19,8.95,8.99,9.1,-0.11,-1.2088,123365.12,111586.188
720,600637.SH,20210112,8.96,9.06,8.92,9.03,8.99,0.04,0.4449,83813.07,75305.183
719,600637.SH,20210113,9,9.06,8.86,9.05,9.03,0.02,0.2215,118173.89,105915.008
718,600637.SH,20210114,9.01,9.28,8.97,9.2,9.05,0.15,1.6575,179550.18,164205.945
717,600637.SH,20210115,9.13,9.23,9.08,9.13,9.2,-0.07,-0.7609,96292.41,88015.832
716,600637.SH,20210118,9.12,9.21,9.06,9.08,9.13,-0.05,-0.5476,85277.1,77899.668
715,600637.SH,20210119,9.09,9.16,9.01,9.12,9.08,0.04,0.4405,72508.95,65921.406
714,600637.SH,20210120,9.09,9.13,8.99,9.06,9.12,-0.06,-0.6579,87849.66,79440.39
713,600637.SH,20210121,9.05,9.12,9,9.07,9.06,0.01,0.1104,88678.74,80380.734
712,600637.SH,20210122,9.06,9.06,8.86,8.9,9.07,-0.17,-1.8743,110253.68,98454.985
711,600637.SH,20210125,8.86,8.93,8.76,8.8,8.9,-0.1,-1.1236,94894.74,83660.046
710,600637.SH,20210126,8.81,8.84,8.76,8.78,8.8,-0.02,-0.2273,57810.9,50807.747
709,600637.SH,20210127,8.78,8.95,8.77,8.85,8.78,0.07,0.7973,74850.08,66420.634
708,600637.SH,20210128,8.81,9.03,8.8,8.93,8.85,0.08,0.904,122435.94,109569.959
707,600637.SH,20210129,8.85,8.96,8.71,8.72,8.93,-0.21,-2.3516,115890.59,102141.524
706,600637.SH,20210201,8.72,8.79,8.61,8.65,8.72,-0.07,-0.8028,87200.89,75695.117
705,600637.SH,20210202,8.66,8.72,8.58,8.66,8.65,0.01,0.1156,63915.94,55316.135
704,600637.SH,20210203,8.63,8.66,8.52,8.53,8.66,-0.13,-1.5012,83066.88,71110.382
703,600637.SH,20210204,8.52,8.52,8.22,8.32,8.53,-0.21,-2.4619,134043.54,111634.635
702,600637.SH,20210205,8.34,8.39,8.27,8.28,8.32,-0.04,-0.4808,56588.12,47050.189
701,600637.SH,20210208,8.28,8.42,8.22,8.32,8.28,0.04,0.4831,60562.93,50458.93
700,600637.SH,20210209,8.36,8.42,8.28,8.4,8.32,0.08,0.9615,63569.64,53155.987
699,600637.SH,20210210,8.41,8.45,8.35,8.43,8.4,0.03,0.3571,62123.8,52197.775
698,600637.SH,20210218,8.53,8.64,8.52,8.58,8.43,0.15,1.7794,88417.96,75908.879
697,600637.SH,20210219,8.59,8.84,8.52,8.82,8.58,0.24,2.7972,116410.12,101515.272
696,600637.SH,20210222,8.83,8.98,8.8,8.8,8.82,-0.02,-0.2268,152110,135234.966
695,600637.SH,20210223,8.8,8.88,8.72,8.73,8.8,-0.07,-0.7955,79185.35,69353.425
694,600637.SH,20210224,8.75,8.87,8.7,8.73,8.73,0,0,103485.74,91052.061
693,600637.SH,20210225,8.78,8.84,8.68,8.71,8.73,-0.02,-0.2291,111187.66,97117.686
692,600637.SH,20210226,8.66,8.73,8.59,8.63,8.71,-0.08,-0.9185,103351.26,89457.231
691,600637.SH,20210301,9,9.2,8.96,9.05,8.63,0.42,4.8667,304748.57,277074.669
690,600637.SH,20210302,9.03,9.1,8.97,9.01,9.05,-0.04,-0.442,138188.28,124697.741
689,600637.SH,20210303,9.01,9.21,9,9.18,9.01,0.17,1.8868,172515.45,157781.251
688,600637.SH,20210304,9.1,9.22,9.09,9.16,9.18,-0.02,-0.2179,120877.37,110773.971
687,600637.SH,20210305,9.14,9.26,9.13,9.18,9.16,0.02,0.2183,118378.34,108891.275
686,600637.SH,20210308,9.26,9.43,9.24,9.24,9.18,0.06,0.6536,142313.43,132668.052
685,600637.SH,20210309,9.25,9.33,9.06,9.15,9.24,-0.09,-0.974,146744.79,135000.078
684,600637.SH,20210310,9.15,9.25,9.04,9.05,9.15,-0.1,-1.0929,106665.6,97317.521
683,600637.SH,20210311,9.06,9.35,9.01,9.25,9.05,0.2,2.2099,170253.51,155929.281
682,600637.SH,20210312,9.3,9.4,9.21,9.36,9.25,0.11,1.1892,162561.74,151732.573
681,600637.SH,20210315,9.41,9.52,9.32,9.48,9.36,0.12,1.2821,184772.96,174767.692
680,600637.SH,20210316,9.54,9.6,9.46,9.58,9.48,0.1,1.0549,128379.19,122497.215
679,600637.SH,20210317,9.57,9.64,9.53,9.57,9.58,-0.01,-0.1044,114957.3,110194.378
678,600637.SH,20210318,9.62,9.64,9.53,9.59,9.57,0.02,0.209,120265.58,115185.531
