,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
726,601668.SH,20210104,4.94,4.95,4.89,4.91,4.97,-0.06,-1.2072,2994130.6,1470331.869
725,601668.SH,20210105,4.9,4.94,4.82,4.88,4.91,-0.03,-0.611,3461620.41,1684969.919
724,601668.SH,20210106,4.86,5,4.85,4.95,4.88,0.07,1.4344,4052501.06,2003857.823
723,601668.SH,20210107,4.96,5.02,4.87,4.92,4.95,-0.03,-0.6061,3003556.43,1477401.711
722,601668.SH,20210108,4.93,4.98,4.89,4.96,4.92,0.04,0.813,2706326.68,1338618.28
721,601668.SH,20210111,4.94,4.95,4.85,4.87,4.96,-0.09,-1.8145,3095431.52,1514332.011
720,601668.SH,20210112,4.88,4.96,4.85,4.94,4.87,0.07,1.4374,2446727.78,1201495.422
719,601668.SH,20210113,4.92,5.15,4.89,5.09,4.94,0.15,3.0364,6045134.01,3044861.437
718,601668.SH,20210114,5.06,5.29,5.03,5.14,5.09,0.05,0.9823,6223994.35,3220659.469
717,601668.SH,20210115,5.13,5.13,5.02,5.03,5.14,-0.11,-2.1401,3496445.82,1771356.986
716,601668.SH,20210118,5.01,5.06,5,5.04,5.03,0.01,0.1988,2196775.31,1104989.118
715,601668.SH,20210119,5.04,5.11,5.01,5.06,5.04,0.02,0.3968,2513906.68,1271596.486
714,601668.SH,20210120,5.06,5.1,5.02,5.04,5.06,-0.02,-0.3953,2161876.58,1093587.429
713,601668.SH,20210121,5.04,5.05,5.01,5.02,5.04,-0.02,-0.3968,1915366.2,963519.894
712,601668.SH,20210122,5.02,5.03,4.93,4.94,5.02,-0.08,-1.5936,2033590.36,1009822.611
711,601668.SH,20210125,4.93,4.94,4.89,4.9,4.94,-0.04,-0.8097,1898097.99,930920.416
710,601668.SH,20210126,4.91,4.95,4.88,4.88,4.9,-0.02,-0.4082,1391796.18,682622.317
709,601668.SH,20210127,4.88,4.94,4.88,4.89,4.88,0.01,0.2049,1233086.71,604200.821
708,601668.SH,20210128,4.88,4.88,4.83,4.83,4.89,-0.06,-1.227,1614052.65,782063.725
707,601668.SH,20210129,4.84,4.86,4.79,4.81,4.83,-0.02,-0.4141,1411989.14,681208.349
706,601668.SH,20210201,4.81,4.84,4.79,4.83,4.81,0.02,0.4158,1014738.89,488916.397
705,601668.SH,20210202,4.82,4.86,4.8,4.82,4.83,-0.01,-0.207,1244971.57,601853.904
