Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,175.000000,176.199997,170.550003,171.869995,150.696091,2996200
2021-01-05,172.009995,173.250000,170.649994,171.580002,150.441849,2295300
2021-01-06,172.720001,175.570007,172.039993,174.190002,152.730316,3346400
2021-01-07,171.559998,173.460007,166.160004,169.720001,148.811005,5863400
2021-01-08,169.169998,169.539993,164.610001,166.619995,146.092896,4808100
2021-01-11,166.100006,167.139999,165.000000,165.199997,144.847839,2736600
2021-01-12,165.899994,167.179993,164.080002,166.509995,145.996460,2949100
2021-01-13,167.270004,167.740005,166.050003,166.279999,145.794769,2098000
2021-01-14,167.270004,167.360001,165.229996,166.410004,145.908768,2895400
2021-01-15,165.630005,166.259995,163.380005,165.550003,145.154694,3550700
2021-01-19,167.259995,169.550003,166.800003,169.119995,148.284912,3903200
2021-01-20,169.039993,170.580002,168.429993,170.220001,149.249390,2672300
2021-01-21,170.220001,171.490005,169.389999,170.669998,149.643967,2688200
2021-01-22,170.199997,170.199997,167.240005,169.039993,148.214767,2349300
2021-01-25,168.880005,172.490005,168.229996,170.389999,149.398422,3353100
2021-01-26,173.779999,176.839996,172.080002,175.949997,154.273499,5148900
2021-01-27,177.309998,187.270004,177.160004,186.649994,163.655273,8097000
2021-01-28,185.000000,186.580002,182.580002,183.419998,160.823181,4153700
2021-01-29,182.289993,182.979996,174.869995,175.660004,154.019196,4217200
2021-02-01,175.970001,177.110001,173.970001,174.699997,153.177475,2569700
2021-02-02,176.250000,177.529999,174.850006,175.020004,153.458054,2844400
2021-02-03,175.380005,177.440002,173.550003,175.479996,153.861389,2874200
2021-02-04,175.789993,177.289993,175.509995,177.100006,155.281815,1833000
2021-02-05,177.600006,179.229996,176.699997,179.009995,156.956482,1822400
2021-02-08,179.300003,180.869995,179.169998,180.759995,158.490891,2355100
2021-02-09,181.220001,181.899994,180.179993,180.940002,158.648712,1942800
2021-02-10,181.880005,182.380005,180.639999,181.080002,158.771454,1929000
2021-02-11,179.350006,179.880005,175.839996,177.210007,156.658646,2188400
2021-02-12,177.270004,178.839996,177.210007,178.699997,157.975861,1081500
2021-02-16,179.000000,179.690002,176.320007,176.630005,156.145935,1834000
2021-02-17,176.050003,177.300003,175.139999,176.649994,156.163589,1578100
2021-02-18,177.250000,179.669998,176.149994,179.369995,158.568130,2087100
2021-02-19,179.570007,180.770004,176.199997,176.539993,156.066330,2986800
2021-02-22,176.460007,177.089996,175.009995,176.119995,155.695053,2271500
