Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,127.500000,127.860001,124.779999,125.870003,115.584244,16819900
2021-01-05,124.989998,126.300003,123.769997,125.650002,116.213173,13731200
2021-01-06,129.880005,132.770004,127.879997,131.550003,121.670044,24909100
2021-01-07,135.690002,138.190002,134.919998,135.869995,125.665596,21940400
2021-01-08,135.970001,136.350006,134.119995,136.020004,125.804321,12035100
2021-01-11,134.580002,138.199997,134.110001,138.050003,127.681854,15937900
2021-01-12,139.440002,141.660004,138.830002,140.220001,129.688873,18033500
2021-01-13,138.589996,140.789993,138.100006,140.350006,129.809128,14816800
2021-01-14,140.490005,142.750000,140.000000,141.169998,130.567551,18565600
2021-01-15,137.429993,141.649994,137.009995,138.639999,128.227539,27881000
2021-01-19,139.860001,140.699997,137.820007,138.039993,127.672585,19843800
2021-01-20,137.820007,138.169998,135.440002,135.970001,125.758095,16028800
2021-01-21,135.690002,136.160004,134.320007,134.830002,124.703720,13411700
2021-01-22,132.690002,134.399994,132.199997,133.789993,123.741821,12933200
2021-01-25,132.139999,133.169998,130.059998,132.119995,122.197235,14212800
2021-01-26,132.750000,133.169998,131.339996,131.580002,121.697800,11307800
2021-01-27,129.589996,129.850006,127.349998,127.860001,118.257187,17603900
2021-01-28,129.899994,132.169998,128.990005,130.110001,120.338196,13761800
2021-01-29,131.190002,131.720001,128.190002,128.669998,119.006340,14808100
2021-02-01,129.399994,130.070007,128.479996,129.619995,119.884987,11080700
2021-02-02,131.940002,134.389999,131.220001,133.610001,123.575340,12253600
2021-02-03,133.649994,135.759995,133.509995,135.139999,124.990402,10600800
2021-02-04,135.470001,138.660004,135.470001,138.250000,127.866837,12419500
2021-02-05,139.389999,139.490005,137.380005,137.979996,127.617134,10051300
2021-02-08,138.199997,140.300003,138.179993,140.139999,129.614883,10136400
2021-02-09,139.429993,139.979996,138.539993,139.580002,129.096954,8614800
2021-02-10,140.000000,140.869995,139.039993,139.660004,129.170929,10323200
2021-02-11,139.660004,140.550003,138.220001,139.270004,128.810257,9201000
2021-02-12,139.050003,141.610001,139.000000,141.250000,130.641525,8324600
2021-02-16,143.550003,145.320007,142.399994,144.649994,133.786163,12130600
2021-02-17,143.949997,145.380005,143.119995,145.100006,134.202377,10810100
2021-02-18,144.000000,145.789993,143.399994,145.589996,134.655579,10587800
2021-02-19,145.860001,148.839996,145.860001,148.020004,136.903076,11969800
2021-02-22,146.869995,150.190002,146.789993,149.410004,138.188690,11488400
2021-02-23,151.509995,152.309998,149.589996,150.610001,139.298553,16234400
2021-02-24,150.110001,153.759995,150.110001,153.259995,141.749542,15061400
2021-02-25,154.270004,154.899994,150.589996,151.179993,139.825745,18127700
2021-02-26,150.300003,150.869995,146.509995,147.169998,136.116898,19829200
2021-03-01,149.520004,151.380005,148.479996,150.500000,139.196823,14845500
2021-03-02,150.080002,151.779999,149.839996,150.009995,138.743622,14221700
2021-03-03,151.229996,154.979996,150.820007,152.910004,141.425842,14324100
2021-03-04,152.610001,154.380005,148.619995,150.559998,139.252335,20093900
2021-03-05,153.220001,153.490005,147.970001,150.910004,139.576035,18465100
2021-03-08,152.470001,155.460007,150.750000,152.910004,141.425842,17133300
2021-03-09,151.500000,154.250000,149.820007,151.830002,140.426926,16238800
2021-03-10,151.910004,156.160004,151.509995,155.130005,143.479095,14342200
2021-03-11,154.110001,156.149994,153.360001,154.320007,142.729935,11771500
2021-03-12,156.860001,157.630005,155.070007,156.149994,144.422485,12849500
2021-03-15,156.350006,156.919998,153.960007,155.369995,143.701050,12101100
2021-03-16,154.089996,154.600006,152.190002,153.509995,141.980774,12805600
2021-03-17,155.339996,156.880005,153.050003,155.089996,143.442093,13952400
2021-03-18,157.600006,161.690002,157.110001,157.649994,145.809814,21898500
2021-03-19,155.509995,155.940002,151.190002,155.139999,143.488327,54418800
2021-03-22,152.800003,153.970001,150.610001,150.970001,139.631500,19944800
2021-03-23,150.330002,152.119995,148.960007,149.460007,138.234940,17076300
2021-03-24,150.000000,153.179993,149.860001,150.619995,139.307785,13079800
2021-03-25,150.000000,152.970001,149.330002,152.550003,141.092850,15608300
2021-03-26,154.300003,155.449997,152.550003,155.089996,143.442093,16754400
2021-03-29,152.119995,153.729996,151.039993,152.679993,141.213074,17570300
2021-03-30,154.460007,155.869995,153.880005,154.479996,142.877884,13184300
2021-03-31,153.279999,154.490005,152.119995,152.229996,140.796875,16736700
2021-04-01,151.899994,153.789993,151.550003,153.710007,142.165741,16561500
2021-04-05,154.399994,154.940002,152.600006,153.619995,142.919312,13508000
2021-04-06,152.789993,154.279999,151.860001,152.539993,141.914536,13071600
2021-04-07,153.100006,155.229996,152.649994,154.929993,144.138046,16903500
2021-04-08,154.000000,155.509995,152.309998,155.119995,144.314819,12335500
2021-04-09,155.809998,157.039993,154.970001,156.279999,145.394012,12122400
2021-04-12,155.580002,157.250000,155.570007,155.949997,145.087021,12273400
2021-04-13,154.750000,155.199997,152.429993,154.089996,143.356583,16113600
2021-04-14,151.470001,153.830002,150.929993,151.210007,140.677216,19939600
2021-04-15,151.250000,152.199997,149.320007,152.169998,141.570313,17694100
2021-04-16,153.869995,154.509995,152.690002,153.300003,142.621613,13773400
2021-04-19,153.419998,153.880005,152.220001,152.649994,142.016861,11900200
2021-04-20,151.740005,151.750000,148.649994,149.270004,138.872330,13716700
2021-04-21,147.789993,150.610001,146.789993,150.539993,140.053864,12236700
2021-04-22,150.229996,150.300003,147.259995,147.369995,137.104675,15256100
2021-04-23,147.179993,151.130005,146.690002,150.190002,139.728226,14041900
2021-04-26,150.779999,152.460007,150.380005,150.559998,140.072479,10799100
2021-04-27,150.500000,151.570007,150.110001,151.250000,140.714371,12821200
2021-04-28,152.429993,152.889999,151.399994,152.229996,141.626144,8943700
2021-04-29,153.539993,155.279999,153.199997,155.190002,144.379944,12976900
2021-04-30,154.100006,154.490005,153.009995,153.809998,143.096054,11705100
2021-05-03,154.850006,155.479996,153.130005,153.360001,142.677429,11801100
2021-05-04,152.869995,155.639999,152.139999,155.479996,144.649734,12977700
2021-05-05,156.000000,158.279999,154.630005,157.520004,146.547638,10506700
2021-05-06,158.070007,160.820007,157.160004,160.690002,149.496841,13542400
2021-05-07,157.220001,161.500000,157.020004,161.240005,150.008514,14257800
2021-05-10,161.500000,163.729996,161.119995,161.220001,149.989929,14014300
2021-05-11,161.080002,162.389999,158.039993,158.539993,147.496567,15451700
2021-05-12,159.610001,160.779999,157.029999,157.449997,146.482513,14381700
2021-05-13,158.179993,162.449997,157.679993,161.500000,150.250412,15395000
2021-05-14,162.389999,164.449997,161.990005,164.009995,152.585556,10584000
2021-05-17,163.369995,164.850006,163.029999,164.669998,153.199585,9886800
2021-05-18,164.679993,165.500000,162.240005,162.350006,151.041229,11098100
2021-05-19,161.000000,161.179993,158.639999,161.110001,149.887573,13278900
2021-05-20,160.830002,161.860001,159.520004,160.830002,149.627121,10426000
2021-05-21,161.339996,163.220001,160.940002,162.660004,151.329605,10249000
2021-05-24,163.360001,164.229996,162.119995,163.539993,152.148315,9440300
2021-05-25,163.850006,165.699997,161.559998,161.850006,150.576065,12609100
2021-05-26,163.570007,163.740005,161.309998,161.830002,150.557465,13058300
2021-05-27,163.949997,164.750000,162.570007,164.350006,152.901932,15707500
2021-05-28,164.679993,164.940002,163.259995,164.240005,152.799545,10291300
2021-06-01,165.869995,166.910004,165.479996,166.050003,154.483475,9445400
2021-06-02,167.259995,167.440002,165.529999,166.059998,154.492767,10498600
2021-06-03,165.410004,167.250000,164.660004,166.169998,154.595093,13354400
2021-06-04,166.210007,166.669998,165.029999,166.440002,154.846313,8510800
2021-06-07,167.000000,167.100006,165.139999,165.660004,154.120667,7267200
2021-06-08,164.490005,165.759995,163.160004,165.000000,153.506638,10370700
2021-06-09,164.139999,164.220001,162.279999,162.940002,151.590118,12377400
2021-06-10,164.360001,165.240005,160.309998,160.399994,149.227036,12119400
2021-06-11,160.429993,161.199997,159.059998,160.289993,149.124710,13683800
2021-06-14,160.149994,160.330002,156.660004,157.570007,146.594131,19917900
2021-06-15,156.699997,156.919998,154.130005,155.179993,144.370651,24485500
2021-06-16,154.729996,157.619995,153.110001,156.270004,145.384750,25321200
2021-06-17,157.100006,157.460007,151.250000,151.759995,141.188873,29722400
2021-06-18,149.300003,149.699997,147.559998,147.919998,137.616348,43595700
2021-06-21,149.080002,151.199997,149.020004,150.429993,139.951538,18664800
2021-06-22,150.600006,150.970001,148.660004,150.210007,139.746826,14251200
2021-06-23,150.199997,152.039993,150.089996,151.119995,140.593460,12733300
2021-06-24,151.919998,153.119995,151.220001,152.509995,141.886612,13733200
2021-06-25,152.589996,154.500000,151.669998,154.050003,143.319366,15484900
2021-06-28,153.699997,154.479996,152.119995,154.330002,143.579849,14125800
