Date,Open,High,Low,Close,Adj Close,Volume
2021-03-01,204.330002,208.149994,203.690002,206.220001,195.215088,2536000
2021-03-02,206.770004,207.990005,205.179993,206.580002,195.555893,2500200
2021-03-03,206.119995,209.449997,206.119995,207.009995,195.962936,2706400
2021-03-04,207.350006,208.039993,200.509995,202.940002,192.110138,2798800
2021-03-05,204.529999,207.460007,201.779999,206.580002,195.555893,2857800
2021-03-08,207.539993,212.449997,207.199997,207.699997,196.616104,3215900
2021-03-09,208.990005,209.940002,206.490005,207.610001,196.530930,2643300
2021-03-10,207.679993,213.270004,207.649994,212.910004,201.548111,4332500
2021-03-11,211.789993,214.759995,211.199997,212.500000,201.159958,2959700
2021-03-12,213.289993,215.389999,213.199997,214.380005,202.939651,1839200
2021-03-15,213.710007,217.000000,212.699997,216.199997,204.662521,2561000
2021-03-16,216.360001,216.470001,211.410004,211.809998,200.506790,2577700
2021-03-17,213.500000,214.429993,211.940002,213.029999,201.661697,2730200
2021-03-18,213.500000,219.000000,213.179993,215.020004,203.545502,4293900
2021-03-19,215.369995,215.589996,212.169998,212.910004,201.548111,10110800
2021-03-22,211.110001,212.679993,209.529999,212.130005,200.809708,3306500
2021-03-23,210.419998,212.350006,207.869995,208.589996,197.458618,1913800
2021-03-24,209.960007,215.050003,209.889999,212.220001,200.894897,2562100
2021-03-25,212.210007,214.050003,208.250000,213.880005,202.466324,2217500
2021-03-26,215.119995,218.690002,214.139999,218.529999,206.868149,2540000
2021-03-29,217.649994,219.669998,217.139999,218.880005,207.199478,3063900
2021-03-30,219.000000,219.309998,217.050003,218.089996,206.451630,2448100
2021-03-31,218.190002,219.169998,216.750000,217.070007,205.486069,2450000
2021-04-01,217.960007,217.970001,215.490005,216.800003,205.230484,2109600
2021-04-05,218.710007,220.110001,218.369995,219.270004,207.568710,2258700
2021-04-06,219.570007,221.050003,218.509995,219.190002,207.492950,1796000
2021-04-07,218.220001,219.880005,217.279999,218.500000,206.839767,1717200
2021-04-08,218.179993,219.960007,216.639999,219.860001,208.127197,2071700
2021-04-09,227.500000,227.630005,223.309998,226.979996,214.867233,3861900
2021-04-12,225.639999,229.229996,225.559998,228.600006,216.400803,2660100
2021-04-13,229.210007,229.949997,227.600006,229.000000,216.779449,2749900
2021-04-14,228.000000,230.990005,228.000000,229.380005,217.139160,2186500
2021-04-15,230.229996,230.710007,228.570007,229.839996,217.574600,2009400
2021-04-16,231.679993,232.350006,230.050003,232.110001,219.723495,4098100
2021-04-19,231.710007,232.110001,230.500000,230.970001,218.644318,2904400
2021-04-20,230.000000,230.190002,225.779999,227.330002,215.198578,2050600
2021-04-21,227.130005,230.669998,226.929993,230.500000,218.199387,1722400
2021-04-22,230.399994,232.029999,228.800003,229.259995,217.025558,2516200
2021-04-23,225.199997,226.949997,222.220001,224.500000,212.519592,5310400
2021-04-26,225.589996,225.740005,221.259995,221.520004,209.698608,3611400
2021-04-27,222.020004,223.750000,221.110001,222.929993,211.033340,2786500
2021-04-28,222.740005,224.139999,222.500000,222.869995,210.976578,2167900
2021-04-29,223.710007,224.160004,221.679993,223.899994,211.951599,1789700
2021-04-30,223.020004,223.580002,221.039993,223.039993,211.137466,2216900
2021-05-03,224.240005,224.779999,222.259995,223.199997,211.288956,2218700
2021-05-04,222.139999,225.600006,220.750000,225.429993,213.399948,2827000
2021-05-05,226.289993,227.270004,225.759995,226.190002,214.119415,2713900
2021-05-06,227.250000,228.820007,225.449997,228.660004,216.457565,2052900
2021-05-07,228.130005,229.699997,226.369995,228.789993,216.580673,1957100
2021-05-10,229.000000,232.649994,229.000000,230.940002,218.615921,2391600
2021-05-11,228.059998,229.259995,224.250000,229.160004,216.930878,3380200
2021-05-12,226.639999,227.259995,219.889999,220.039993,208.297577,4197100
2021-05-13,218.830002,224.869995,218.740005,223.679993,212.642075,2904700
2021-05-14,225.740005,228.229996,224.860001,227.360001,216.140472,2081300
2021-05-17,227.860001,227.860001,224.740005,226.470001,215.294403,2058100
2021-05-18,225.369995,225.990005,222.229996,222.320007,211.349213,2400400
2021-05-19,220.669998,221.470001,216.779999,221.320007,210.398544,3050200
2021-05-20,220.490005,222.889999,220.470001,222.130005,211.168549,2207800
2021-05-21,223.000000,225.630005,222.660004,223.199997,212.185776,2274600
