Date,Open,High,Low,Close,Adj Close,Volume
2021-03-05,214.339996,220.779999,211.500000,220.160004,207.573669,3602300
2021-03-08,220.970001,224.300003,218.210007,221.580002,208.912506,3048700
2021-03-09,221.380005,222.330002,216.139999,216.800003,204.405777,2902400
2021-03-10,217.729996,222.050003,217.190002,221.059998,208.422241,2435800
2021-03-11,223.000000,223.600006,219.149994,219.759995,207.196533,2960000
2021-03-12,219.000000,229.020004,218.119995,229.000000,215.908310,4756500
2021-03-15,228.869995,231.800003,225.830002,230.740005,217.548828,4215300
2021-03-16,227.720001,231.210007,224.770004,226.460007,213.513504,3539200
2021-03-17,228.130005,234.300003,227.130005,233.630005,220.273605,3518500
2021-03-18,234.000000,237.779999,229.740005,230.679993,217.492279,4336200
2021-03-19,228.750000,229.649994,224.050003,225.289993,212.410385,7485100
2021-03-22,226.619995,227.179993,223.570007,226.020004,213.098694,2211600
2021-03-23,222.059998,225.240005,216.649994,218.250000,205.772888,4017600
2021-03-24,220.509995,227.110001,220.509995,221.229996,208.582520,4258000
2021-03-25,219.229996,224.970001,216.039993,224.250000,211.429855,2901800
2021-03-26,226.350006,229.839996,225.210007,229.500000,216.379684,3040100
2021-03-29,228.100006,231.850006,227.710007,230.220001,217.058563,3003200
2021-03-30,231.199997,234.720001,231.139999,233.080002,219.755066,3139100
2021-03-31,234.350006,237.009995,228.850006,231.869995,218.614243,4512300
2021-04-01,231.300003,235.000000,227.589996,232.740005,219.434509,3787100
2021-04-05,235.000000,235.660004,232.369995,233.710007,220.349045,2323400
2021-04-06,232.500000,236.679993,230.229996,230.639999,217.454544,2614500
2021-04-07,231.960007,234.190002,229.350006,230.410004,217.237701,2449600
2021-04-08,230.130005,231.050003,227.169998,230.479996,217.303711,2158900
2021-04-09,231.300003,232.199997,227.539993,230.750000,217.558228,2482900
2021-04-12,230.300003,231.300003,228.929993,230.929993,217.727966,1688200
2021-04-13,233.410004,233.500000,228.050003,229.350006,216.238312,2286400
2021-04-14,229.600006,234.220001,229.550003,232.580002,219.283661,2491000
2021-04-15,233.149994,233.440002,230.740005,232.520004,219.227081,1860200
2021-04-16,234.619995,235.940002,232.270004,233.360001,220.019043,2128400
2021-04-19,232.899994,233.100006,229.910004,232.389999,219.104523,1712600
2021-04-20,230.899994,231.300003,225.600006,227.630005,214.616623,2815800
2021-04-21,227.320007,232.610001,226.020004,232.460007,219.170502,1977700
2021-04-22,233.250000,233.429993,228.770004,228.889999,215.804596,2410700
2021-04-23,229.360001,231.649994,227.880005,230.110001,217.935547,3458300
2021-04-26,230.570007,232.850006,229.960007,230.559998,218.361771,1864800
2021-04-27,230.289993,230.860001,228.080002,230.339996,218.153412,1959300
2021-04-28,230.050003,233.720001,229.380005,232.300003,220.009720,2965300
2021-04-29,235.000000,235.199997,223.199997,227.470001,215.435226,5442400
