0.17921,0.1896,0.18857,0.19515,0.092692,0.53035
0.18615,0.19755,0.19389,0.20239,0.099483,0.54235
0.19448,0.20082,0.19982,0.20592,0.10285,0.5091
0.19601,0.20081,0.20169,0.20708,0.104,0.47355
0.19712,0.20275,0.20331,0.20896,0.10578,0.43292
0.20302,0.20758,0.20821,0.21305,0.10955,0.38694
0.21043,0.21272,0.21388,0.21618,0.11237,0.35751
0.21465,0.21542,0.21727,0.21976,0.11563,0.33411
0.21832,0.21803,0.21911,0.2221,0.11797,0.31506
0.22138,0.22192,0.22352,0.22514,0.12141,0.28411
0.22419,0.22556,0.22679,0.22874,0.12499,0.26679
0.22748,0.22994,0.23078,0.23349,0.12945,0.25845
0.23071,0.23428,0.23491,0.23777,0.13345,0.26411
0.23403,0.23788,0.23838,0.24012,0.13565,0.28071
0.23609,0.24075,0.24127,0.24283,0.13817,0.28265
0.23798,0.24367,0.24197,0.24452,0.13972,0.29419
0.24185,0.24998,0.24662,0.25024,0.145,0.29756
0.24867,0.25655,0.25234,0.25591,0.15019,0.30324
0.25687,0.2628,0.2595,0.26407,0.1577,0.29344
0.26503,0.27182,0.26862,0.27489,0.16769,0.29634
0.27463,0.27892,0.27791,0.2821,0.17431,0.27489
0.28327,0.28683,0.28617,0.28945,0.18108,0.25922
0.29222,0.29714,0.29528,0.29983,0.19074,0.2522
0.30343,0.3094,0.30766,0.31314,0.20318,0.24829
0.31606,0.32185,0.31987,0.32564,0.2149,0.24966
0.32835,0.3341,0.33221,0.33825,0.22676,0.26246
0.34021,0.3459,0.34429,0.3511,0.23884,0.26908
0.3531,0.35942,0.35843,0.36385,0.25084,0.27739
0.36696,0.37444,0.37235,0.37708,0.26328,0.30577
0.37972,0.3846,0.38331,0.38661,0.27229,0.32369
0.38966,0.39507,0.39246,0.39543,0.28065,0.35002
0.40032,0.41033,0.40415,0.41066,0.29505,0.3865
0.41464,0.42537,0.41772,0.42612,0.30968,0.40593
0.43018,0.43746,0.43068,0.43751,0.3205,0.42362
0.44159,0.4493,0.44343,0.44718,0.32968,0.44015
0.45177,0.45755,0.45233,0.45469,0.33682,0.43825
0.45987,0.46559,0.45995,0.4615,0.34332,0.43363
0.46851,0.47487,0.47061,0.47251,0.35376,0.42004
0.47713,0.4831,0.47907,0.48167,0.36249,0.41412
0.48406,0.49171,0.48665,0.4909,0.37131,0.41084
0.49467,0.50211,0.49539,0.50162,0.38152,0.41519
0.50664,0.51515,0.50857,0.51598,0.39511,0.41318
0.52043,0.52686,0.52276,0.52617,0.40476,0.40694
0.53011,0.5344,0.53161,0.53201,0.4103,0.40906
0.53724,0.54179,0.5396,0.54067,0.41848,0.41872
0.54707,0.5517,0.54798,0.5505,0.42776,0.43608
0.55634,0.56449,0.55716,0.56488,0.44135,0.45819
0.5705,0.57657,0.57046,0.57646,0.45234,0.46879
0.58176,0.58778,0.58204,0.58606,0.4615,0.48051
0.59357,0.60144,0.59505,0.6003,0.475,0.48681
0.60744,0.61425,0.60773,0.61074,0.48496,0.49572
0.61661,0.62127,0.61649,0.61876,0.49264,0.51371
0.62479,0.62925,0.62496,0.62748,0.501,0.48765
0.63205,0.63893,0.63202,0.63377,0.50711,0.48163
0.64007,0.64948,0.64199,0.6442,0.51715,0.45737
0.64967,0.65858,0.65122,0.65653,0.52899,0.42037
0.66248,0.66951,0.66507,0.66845,0.54043,0.39908
0.67321,0.67961,0.677,0.67775,0.54939,0.37207
0.68334,0.68937,0.68628,0.68642,0.5577,0.3385
0.69278,0.69834,0.69258,0.69408,0.56501,0.30961
0.70074,0.70589,0.7004,0.70303,0.57347,0.27141
0.71117,0.71504,0.71182,0.71233,0.58222,0.22781
0.72013,0.72465,0.72082,0.71991,0.58936,0.19354
0.72859,0.73178,0.72863,0.72821,0.59718,0.16038
0.73658,0.73796,0.73562,0.73652,0.60505,0.13587
0.74459,0.74521,0.74329,0.7439,0.61207,0.11941
0.75143,0.75172,0.75064,0.74964,0.61761,0.097631
0.75764,0.75826,0.75635,0.75421,0.62209,0.08414
0.76117,0.76323,0.76217,0.75994,0.6277,0.075791
0.76684,0.76673,0.76761,0.76417,0.6319,0.06971
0.77165,0.77019,0.77143,0.76716,0.63494,0.072912
